Date,Open,High,Low,Close,Volume,OpenInt
1/8/2014,83.414,83.836,83.25,83.606,28410322,0
1/9/2014,83.905,83.922,83.041,83.329,24728570,0
1/10/2014,83.54,83.691,82.906,83.597,39695359,0
1/13/2014,83.481,83.768,82.047,82.363,51014282,0
1/14/2014,82.638,83.999,82.638,83.931,38837889,0
1/15/2014,84.267,84.785,84.209,84.622,41616539,0
1/16/2014,84.534,84.755,84.421,84.632,35750409,0
1/17/2014,84.382,84.622,83.95,84.151,38539522,0
1/21/2014,84.688,84.831,84.085,84.795,27587787,0
1/22/2014,84.983,85.225,84.765,85.012,30708380,0
1/23/2014,84.745,84.765,84.132,84.725,36606948,0
1/24/2014,84.325,84.44,83.031,83.06,67175724,0
1/27/2014,83.09,83.205,81.634,82.255,66434893,0
1/28/2014,81.795,82.294,81.692,82.207,46389608,0
1/29/2014,81.49,82.104,81.163,81.326,54332538,0
1/30/2014,82.343,83.118,82.235,82.832,68777586,0
1/31/2014,81.91,83.002,81.824,82.609,47196535,0
2/3/2014,82.486,82.832,80.502,80.714,68516181,0
2/4/2014,81.107,81.634,80.876,81.307,39432064,0
2/5/2014,81.051,81.385,80.187,81.097,43735118,0
2/6/2014,81.336,82.235,81.317,82.13,33754605,0
2/7/2014,82.609,83.654,82.353,83.597,40168191,0
2/10/2014,83.53,84.113,83.51,84.075,31548093,0
2/11/2014,84.209,85.197,84.161,85.032,40380517,0
2/12/2014,85.197,85.387,84.938,85.197,33960161,0
2/13/2014,84.562,85.894,84.554,85.828,42272758,0
2/14/2014,85.762,86.192,85.54,85.999,35592537,0
2/18/2014,86.116,86.584,85.933,86.421,30918937,0
2/19/2014,86.25,86.459,85.655,85.828,43620882,0
2/20/2014,85.894,86.392,85.52,86.23,43680046,0
2/21/2014,86.498,86.622,86.009,86.116,32594459,0
2/24/2014,86.279,86.967,86.221,86.575,32905652,0
2/25/2014,86.69,86.871,86.202,86.479,28668153,0
2/26/2014,86.729,86.987,86.057,86.402,44866885,0
2/27/2014,86.414,87.051,86.281,86.963,29898286,0
2/28/2014,86.933,87.464,86.098,86.866,50564903,0
3/3/2014,86.039,86.453,85.453,86.223,40446582,0
3/4/2014,87.147,87.483,87.078,87.318,34527892,0
3/5/2014,87.474,87.713,87.278,87.558,28302924,0
3/6/2014,87.743,87.82,87.166,87.483,25047941,0
3/7/2014,87.762,87.848,86.606,87.051,32417659,0
3/10/2014,87.011,87.166,86.569,87.127,18863441,0
3/11/2014,87.337,87.558,86.492,86.753,28604766,0
3/12/2014,86.365,87.127,86.039,87.078,29116654,0
3/13/2014,87.407,87.434,85.453,85.847,50482863,0
3/14/2014,85.568,85.942,85.223,85.261,40287709,0
3/17/2014,85.809,86.453,85.762,86.011,29615426,0
3/18/2014,86.108,87.156,86.089,87.051,32499752,0
3/19/2014,87.078,87.175,86.011,86.578,42497931,0
3/20/2014,86.326,87.078,86.138,86.817,32899424,0
3/21/2014,87.324,87.364,85.6,85.776,65175133,0
3/24/2014,86.092,86.151,84.242,85.021,80659002,0
3/25/2014,85.475,86.014,84.588,85.302,43292582,0
3/26/2014,85.737,85.918,84.193,84.203,42469827,0
3/27/2014,84.106,84.463,83.267,83.729,67221088,0
3/28/2014,83.991,84.821,83.663,83.897,41395552,0
3/31/2014,84.55,85.061,84.445,84.491,35166257,0
4/1/2014,84.907,86.033,84.53,85.975,40103801,0
4/2/2014,86.341,86.429,85.812,86.199,35922095,0
4/3/2014,86.305,86.429,85.021,85.514,31449659,0
4/4/2014,86.053,86.17,83.017,83.239,136131025,0
4/7/2014,82.728,83.49,81.87,82.451,87142585,0
4/8/2014,82.545,83.327,82.255,83.212,53423364,0
4/9/2014,83.529,84.685,83.297,84.638,47345474,0
4/10/2014,84.685,84.695,81.782,82.016,76402386,0
4/11/2014,81.293,82.344,80.868,81.061,97159752,0
4/14/2014,81.774,82.13,80.945,81.698,48238246,0
4/15/2014,81.977,82.441,80.263,81.968,87800807,0
4/16/2014,82.719,83.056,82.006,83.056,48706549,0
4/17/2014,82.778,83.49,82.525,83.076,55697840,0
4/21/2014,83.277,83.691,82.883,83.691,26883039,0
4/22/2014,83.942,84.568,83.837,84.357,40034927,0
4/23/2014,84.377,84.387,83.568,83.615,35559122,0
4/24/2014,85.002,85.012,83.509,84.416,50754283,0
4/25/2014,83.924,84.01,82.864,83.066,46004525,0
4/28/2014,83.441,83.952,82.026,83.336,60801493,0
4/29/2014,83.605,84.154,83.182,84.001,38097796,0
4/30/2014,83.644,84.309,83.403,84.223,40135743,0
5/1/2014,84.357,84.955,84.145,84.472,38520064,0
5/2/2014,84.752,84.917,84.116,84.319,41569887,0
5/5/2014,83.827,84.782,83.615,84.762,28936966,0
5/6/2014,84.648,84.675,83.625,83.663,34953063,0
5/7/2014,83.847,83.924,82.431,83.422,70020509,0
5/8/2014,83.133,84.357,82.93,83.346,48284997,0
5/9/2014,83.277,83.711,82.738,83.654,36395479,0
5/12/2014,84.145,85.061,84.078,85.031,40403831,0
5/13/2014,85.118,85.397,84.927,85.09,31447271,0
5/14/2014,84.839,85.147,84.445,84.648,27467907,0
5/15/2014,84.628,84.772,83.441,83.981,61903526,0
5/16/2014,84.078,84.578,83.5,84.53,69317956,0
5/19/2014,84.3,85.253,84.135,85.118,33205369,0
5/20/2014,85.08,85.388,84.463,84.811,34974804,0
5/21/2014,84.965,85.668,84.917,85.618,38216117,0
5/22/2014,85.718,86.237,85.58,85.995,31757274,0
5/23/2014,86.092,86.641,85.89,86.622,23544171,0
5/27/2014,87.008,87.721,86.929,87.701,30841417,0
5/28/2014,87.672,87.8,87.354,87.432,31614244,0
5/29/2014,87.75,87.999,87.566,87.99,34269769,0
5/30/2014,88.019,88.136,87.538,87.999,31036636,0
6/2/2014,88.117,88.127,87.354,87.912,31557584,0
6/3/2014,87.614,88.019,87.51,87.875,22595825,0
6/4/2014,87.662,88.347,87.52,88.203,20884139,0
6/5/2014,88.289,89.11,87.981,88.944,36901625,0
6/6/2014,89.301,89.456,89.1,89.456,23531560,0
6/9/2014,89.485,89.609,89.148,89.389,24270334,0
6/10/2014,89.301,89.59,89.203,89.542,21411307,0
6/11/2014,89.232,89.649,89.148,89.523,23741082,0
6/12/2014,89.33,89.428,88.404,88.714,36560571,0
6/13/2014,89.12,89.193,88.588,88.973,40931377,0
6/16/2014,88.82,89.311,88.627,89.051,26160720,0
6/17/2014,88.993,89.339,88.838,89.1,20733731,0
6/18/2014,89.193,89.725,88.645,89.599,35798609,0
6/19/2014,89.725,89.793,89.139,89.542,39867438,0
6/20/2014,89.579,89.745,89.417,89.648,26786036,0
6/23/2014,89.618,89.695,89.398,89.666,21546770,0
6/24/2014,89.666,90.421,89.319,89.579,33041945,0
6/25/2014,89.378,90.305,89.368,90.151,33956514,0
